"Exact
age (x)",Male,,,Female,,,,,,,,,,,,,,
,"Death(qx)
probability a","Number of(lx)
lives b","Life(ex)
expectancy","Death(qx)
probability a","Number of
lives b(lx)","Life(ex)
expectancy",Probability of Survival (px),Survivor's next age (lx+1),Deaths (dx),,,,,,,,,
58,0.010669,"85,159",22.59,0.006509,"91,454",25.78,0.989331,84250.43863,909,,,,,,,,,
59,0.011548,"84,250",21.83,0.007067,"90,859",24.95,0.988452,83277.081,973,,,,,,,,,
60,0.012458,"83,277",21.08,0.007658,"90,217",24.12,0.987542,82239.53513,"1,037",,,,,,,,,
61,0.013403,"82,240",20.34,0.008305,"89,526",23.31,0.986597,81137.73728,"1,102",,,,,,,,,
62,0.01445,"81,138",19.61,0.008991,"88,782",22.5,0.98555,79965.5559,"1,172",,,,,,,,,
63,0.015571,"79,965",18.89,0.009681,"87,984",21.7,0.984429,78719.86499,"1,245",,,,,,,,,
64,0.016737,"78,720",18.18,0.010343,"87,132",20.9,0.983263,77402.46336,"1,318",,,,,,,,,
65,0.017897,"77,402",17.48,0.011018,"86,231",20.12,0.982103,76016.73641,"1,385",,,,,,,,,
66,0.019017,"76,017",16.79,0.011743,"85,281",19.34,0.980983,74571.38471,"1,446",,,,,,,,,
67,0.020213,"74,572",16.11,0.012532,"84,279",18.56,0.979787,73064.67616,"1,507",,,,,,,,,
68,0.021569,"73,064",15.43,0.013512,"83,223",17.79,0.978431,71488.08258,"1,576",,,,,,,,,
69,0.023088,"71,488",14.76,0.014684,"82,099",17.03,0.976912,69837.48506,"1,651",,,,,,,,,
70,0.024828,"69,838",14.09,0.016025,"80,893",16.27,0.975172,68104.06214,"1,734",,,,,,,,,
71,0.026705,"68,104",13.44,0.017468,"79,597",15.53,0.973295,66285.28268,"1,819",,,,,,,,,
72,0.028761,"66,285",12.8,0.019195,"78,206",14.8,0.971239,64378.57712,"1,906",,,,,,,,,
73,0.031116,"64,379",12.16,0.021195,"76,705",14.08,0.968884,62375.78304,"2,003",,,,,,,,,
74,0.033861,"62,376",11.53,0.023452,"75,079",13.37,0.966139,60263.88626,"2,112",,,,,,,,,
75,0.037088,"60,263",10.92,0.02598,"73,319",12.68,0.962912,58027.96586,"2,235",,,,,,,,,
76,0.041126,"58,028",10.32,0.029153,"71,414",12,0.958874,55641.54047,"2,386",,,,,,,,,
77,0.045241,"55,642",9.74,0.032394,"69,332",11.35,0.954759,53124.70028,"2,517",,,,,,,,,
78,0.049793,"53,125",9.18,0.035888,"67,086",10.71,0.950207,50479.74688,"2,645",,,,,,,,,
79,0.054768,"50,479",8.64,0.039676,"64,678",10.09,0.945232,47714.36613,"2,765",,,,,,,,,
80,0.06066,"47,715",8.11,0.044156,"62,112",9.49,0.93934,44820.6081,"2,894",,,,,,,,,
81,0.067027,"44,820",7.6,0.049087,"59,370",8.9,0.932973,41815.84986,"3,004",,,,,,,,,
82,0.073999,"41,816",7.11,0.054635,"56,455",8.34,0.926001,38721.65782,"3,094",,,,,,,,,
83,0.081737,"38,722",6.64,0.061066,"53,371",7.79,0.918263,35556.97989,"3,165",,,,,,,,,
84,0.090458,"35,557",6.18,0.068431,"50,112",7.26,0.909542,32340.58489,"3,216",,,,,,,,,
85,0.100525,"32,340",5.75,0.076841,"46,683",6.76,0.899475,29089.0215,"3,251",,,,,,,,,
86,0.111793,"29,089",5.34,0.086205,"43,095",6.28,0.888207,25837.05342,"3,252",,,,,,,,,
87,0.124494,"25,837",4.94,0.096851,"39,380",5.83,0.875506,22620.44852,"3,217",,,,,,,,,
88,0.138398,"22,621",4.58,0.109019,"35,566",5.4,0.861602,19490.29884,"3,131",,,,,,,,,
89,0.153207,"19,490",4.23,0.121867,"31,689",5,0.846793,16503.99557,"2,986",,,,,,,,,
90,0.169704,"16,504",3.91,0.135805,"27,827",4.62,0.830296,13703.20518,"2,801",,,,,,,,,
91,0.187963,"13,703",3.6,0.151108,"24,048",4.27,0.812037,11127.34301,"2,576",,,,,,,,,
92,0.208395,"11,128",3.32,0.16802,"20,414",3.94,0.791605,8808.98044,"2,319",,,,,,,,,
93,0.230808,"8,809",3.06,0.18634,"16,984",3.64,0.769192,6775.812328,"2,033",,,,,,,,,
94,0.253914,"6,776",2.83,0.206432,"13,819",3.36,0.746086,5055.478736,"1,721",,,,,,,,,
95,0.277402,"5,055",2.63,0.228086,"10,967",3.1,0.722598,3652.73289,"1,402",,,,,,,,,
96,0.300882,"3,653",2.44,0.250406,"8,465",2.87,0.699118,2553.878054,"1,099",,,,,,,,,
97,0.324326,"2,554",2.28,0.273699,"6,346",2.66,0.675674,1725.671396,828,,,,,,,,,
98,0.347332,"1,726",2.13,0.296984,"4,609",2.47,0.652668,1126.504968,599,,,,,,,,,
